"person" "visibility" "detected" "notdetected"
"NameA" "open" 4 0
"NameB" "open" 1 0
"NameC" "open" 4 1
"NameD" "open" 2 0
"NameE" "open" 5 1
"NameF" "open" 1 1
"NameA" "overgrown" 2 0
"NameB" "overgrown" 12 0
"NameG" "overgrown" 1 0
"NameH" "overgrown" 3 2
"NameI" "overgrown" 0 1
"NameE" "overgrown" 2 1
"NameF" "overgrown" 1 1
"NameB" "heavily_overgrown" 2 1
"NameG" "heavily_overgrown" 4 0
"NameI" "heavily_overgrown" 1 1
"NameF" "heavily_overgrown" 7 2
