"turbineID" "perstime" "status"
"16" 11 1
"16" 2 1
"16" 2 1
"16" 4 1
"16" 8 1
"16" 5 1
"16" 2 1
"16" 4 1
"16" 2 1
"16" 13 1
"16" 2 1
"16" 2 1
"16" 11 1
"15" 8 1
"15" 2 1
"15" 3 1
"15" 8 1
"15" 4 1
"15" 4 1
"15" 1 1
"15" 1 1
"15" 11 1
"15" 6 1
"15" 1 1
"15" 2 1
"15" 6 1
"15" 4 1
"15" 2 1
"15" 4 1
"15" 5 1
"15" 1 1
"15" 8 1
"15" 1 1
"15" 7 1
"15" 4 1
"15" 11 1
"15" 3 1
"15" 4 1
"15" 6 1
"15" 8 0
"15" 5 1
"15" 5 1
"15" 2 0
"15" 9 1
"15" 1 1
"15" 11 1
"15" 4 1
"15" 2 1
"22" 9 1
"22" 9 1
"21" 2 1
"22" 3 1
"21" 1 1
"22" 6 1
"21" 2 1
"21" 1 1
"21" 1 1
"22" 3 1
"22" 1 1
"21" 1 1
"22" 5 1
"21" 4 1
"22" 1 1
"22" 13 1
"21" 2 1
"22" 1 1
"21" 6 1
"22" 2 1
"22" 6 1
"21" 1 1
"22" 4 1
"21" 8 1
"22" 14 1
"21" 11 1
"21" 1 1
"21" 1 1
"22" 1 1
"22" 2 1
"21" 1 1
"21" 12 1
"22" 2 1
"22" 3 1
"22" 2 1
"21" 6 1
"21" 3 1
"21" 2 1
"22" 6 1
"22" 6 1
"22" 8 1
"22" 9 1
"21" 12 1
"21" 5 1
"21" 4 1
"21" 3 1
"20" 2 1
"20" 2 1
"20" 14 0
"19" 4 1
"19" 4 1
"19" 14 0
"19" 4 1
"19" 2 1
"20" 1 1
"20" 4 1
"19" 6 1
"20" 1 1
"20" 1 1
"20" 3 1
"19" 4 1
"20" 4 1
"20" 14 0
"20" 2 1
"19" 3 1
"19" 1 1
"19" 14 1
"20" 1 1
"20" 1 1
"19" 2 1
"20" 3 1
"20" 9 1
"19" 2 1
"19" 3 1
"19" 9 1
"19" 1 1
"20" 1 1
"20" 2 1
"19" 5 1
"19" 4 1
"20" 2 1
"20" 4 1
"20" 2 1
"20" 3 1
"19" 2 1
"19" 3 1
"19" 9 1
"19" 7 1
"20" 5 1
"20" 12 1
"19" 2 1
"19" 10 1
"20" 2 1
"20" 2 1
"19" 4 0
"20" 4 0
"27" 3 1
"27" 12 1
"27" 2 1
"27" 14 0
"27" 4 1
"27" 1 1
"27" 1 1
"27" 2 1
"27" 2 1
"27" 1 1
"27" 2 1
"27" 1 1
"27" 1 1
"27" 4 1
"27" 3 1
"27" 3 1
"27" 3 1
"27" 3 1
"27" 3 1
"27" 3 1
"27" 1 1
"27" 2 1
"27" 2 1
"28" 1 1
"28" 1 1
"28" 3 1
"28" 1 1
"28" 3 1
"28" 1 1
"28" 1 1
"28" 1 1
"28" 2 1
"28" 14 0
"28" 14 0
"28" 5 1
"28" 1 1
"28" 1 1
"28" 1 1
"28" 1 1
"28" 1 1
"28" 1 1
"28" 5 1
"28" 3 1
"28" 2 1
"28" 3 1
"28" 1 1
"28" 2 1
"25" 1 1
"25" 6 1
"25" 14 0
"25" 6 1
"25" 6 1
"25" 1 1
"25" 3 1
"25" 3 1
"25" 4 1
"25" 3 1
"25" 5 1
"25" 1 1
"25" 1 1
"25" 1 1
"25" 2 1
"25" 5 1
"25" 4 1
"25" 1 1
"25" 12 1
"25" 11 1
"25" 3 1
"25" 6 1
"25" 8 1
"25" 4 1
"25" 4 1
"25" 1 1
"26" 3 1
"26" 1 1
"26" 1 1
"26" 5 1
"26" 4 1
"26" 1 1
"26" 2 1
"26" 2 1
"26" 1 1
"26" 10 1
"26" 2 1
"26" 6 1
"26" 14 0
"26" 1 1
"26" 2 1
"26" 1 1
"26" 2 1
"26" 1 1
"26" 14 1
"26" 13 1
"26" 6 1
